1602867869.000000, 1602867869.000000, 1602867869.000000
32.000000, 32.000000, 32.000000
-3,11,60
-3,11,60
-2,11,60
-2,11,60
-2,11,60
-2,11,60
-2,11,60
-2,11,61
-2,11,60
-2,11,60
-2,11,60
-2,11,60
-1,11,60
-2,11,60
-2,11,60
-2,11,60
-1,11,60
-2,11,60
-2,11,60
-2,10,61
-1,11,61
-1,11,60
-1,11,60
-2,11,60
-2,11,60
-1,11,60
-1,11,60
-1,11,60
-1,11,60
-2,11,60
-2,11,60
-1,11,60
-1,11,60
-2,11,60
-1,11,60
-1,11,60
-1,11,60
-1,11,60
-2,11,60
-1,11,61
-1,11,60
-2,11,60
-1,10,60
0,10,61
-1,11,60
-1,11,60
-2,11,60
-1,11,60
-1,11,60
-1,11,60
-1,11,60
-1,11,60
-1,11,60
-1,10,60
-1,10,60
0,11,60
0,11,60
-1,11,60
-1,11,60
-1,11,60
0,11,60
0,11,60
-1,11,60
-1,11,60
-1,11,60
-1,11,60
0,11,60
-1,11,60
0,11,60
0,11,60
-1,10,60
-1,11,60
-1,11,60
0,11,61
-1,11,60
-1,11,60
-2,11,60
-1,11,60
-1,11,59
-1,11,61
1,10,61
0,10,60
0,10,60
1,10,60
1,10,61
0,9,61
0,9,61
0,9,61
2,9,63
1,9,62
1,9,63
0,8,70
1,8,71
-10,8,67
-17,7,62
-20,8,61
-25,11,55
-26,11,53
-24,13,48
-22,10,46
-20,6,49
-18,5,49
-17,3,47
-7,1,57
-7,-3,58
-10,-2,55
-11,-1,52
-19,-1,63
-23,1,88
0,4,78
-12,7,55
-6,5,60
-8,1,67
-6,4,64
-13,3,60
-14,4,60
-14,3,60
-4,4,62
-7,1,63
-11,2,59
-10,1,61
-8,1,62
-16,6,59
-17,6,59
-13,13,60
-17,7,58
-16,4,59
-8,3,62
-13,4,61
-12,6,59
-13,6,61
-14,6,60
-16,6,58
-17,4,59
-16,4,59
-14,5,60
-13,5,60
-5,8,63
-10,5,60
-14,5,59
-8,5,61
-6,6,61
-6,5,61
-5,5,61
-4,4,61
-8,4,61
-6,3,63
-7,2,61
-7,5,61
-7,5,61
-7,5,61
-6,5,61
-9,5,61
-7,9,62
-7,7,62
-11,7,61
-10,6,61
-12,5,60
-8,4,60
-3,4,61
-3,6,61
-6,7,62
-4,7,62
-7,5,60
-7,7,58
-4,9,60
-4,5,62
-3,7,60
-6,5,61
-2,8,60
-3,7,62
-12,3,60
-3,5,62
-4,4,62
-6,3,61
-6,4,61
-6,4,61
-3,4,61
-2,4,62
-6,4,61
-5,4,61
-5,4,61
-4,5,61
-2,5,61
-4,4,61
-4,5,61
-3,5,62
-3,5,60
-3,5,61
-4,4,61
-5,4,61
-5,4,61
-5,4,61
-4,4,61
-3,4,61
-4,5,61
-4,5,61
-3,5,61
-2,6,61
-2,5,61
-3,5,61
-1,5,61
-1,4,61
-2,5,61
-2,5,61
-2,5,61
-1,5,61
-2,5,61
-2,5,61
-1,5,61
-1,5,61
-3,5,60
-4,5,61
-3,5,61
-1,5,61
0,4,61
-1,4,61
-1,4,62
-1,5,61
-1,5,61
-1,5,61
-2,5,61
-2,5,61
-2,5,61
-2,5,61
-2,4,61
-2,4,61
-2,4,61
-2,5,61
-2,4,61
-1,5,61
-1,4,61
-1,5,61
-1,4,61
-1,5,61
-2,4,61
-2,5,61
-2,5,61
-2,5,61
-2,4,61
-2,5,61
-2,5,61
-1,5,62
1,7,62
-1,5,61
-1,4,61
